Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1063,23,29/03/2024 23:00,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,
1064,23,29/03/2024 23:00,Kia Center,Orlando Magic,LA Clippers,
1065,23,29/03/2024 23:00,Capital One Arena,Washington Wizards,Detroit Pistons,
1066,23,29/03/2024 23:30,Barclays Center,Brooklyn Nets,Chicago Bulls,
1067,23,29/03/2024 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,
1068,23,30/03/2024 00:00,Kaseya Center,Miami Heat,Portland Trail Blazers,
1069,23,30/03/2024 00:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,
1070,23,30/03/2024 00:00,Frost Bank Center,San Antonio Spurs,New York Knicks,
1071,23,30/03/2024 01:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
1072,23,30/03/2024 01:30,Delta Center,Utah Jazz,Houston Rockets,
1073,23,30/03/2024 02:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
1074,23,30/03/2024 21:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
1075,23,30/03/2024 23:00,Kia Center,Orlando Magic,Memphis Grizzlies,
1076,23,30/03/2024 23:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
1077,23,31/03/2024 19:30,Ball Arena,Denver Nuggets,Cleveland Cavaliers,
1078,23,31/03/2024 22:00,Barclays Center,Brooklyn Nets,Los Angeles Lakers,
1079,23,31/03/2024 22:00,Spectrum Center,Charlotte Hornets,LA Clippers,
1080,23,31/03/2024 22:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
1081,23,31/03/2024 22:00,Capital One Arena,Washington Wizards,Miami Heat,
1082,23,31/03/2024 23:00,Madison Square Garden,New York Knicks,Oklahoma City Thunder,
1083,23,31/03/2024 23:00,Toyota Center,Houston Rockets,Dallas Mavericks,
1084,23,31/03/2024 23:00,Target Center,Minnesota Timberwolves,Chicago Bulls,
1085,23,31/03/2024 23:00,Frost Bank Center,San Antonio Spurs,Golden State Warriors,
1086,23,01/04/2024 01:00,Golden 1 Center,Sacramento Kings,Utah Jazz,
1087,24,01/04/2024 23:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
1088,24,01/04/2024 23:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,
1089,24,01/04/2024 23:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,
1090,24,01/04/2024 23:00,Kia Center,Orlando Magic,Portland Trail Blazers,
1091,24,02/04/2024 00:00,United Center,Chicago Bulls,Atlanta Hawks,
1092,24,02/04/2024 00:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
1094,24,02/04/2024 23:00,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,
1095,24,02/04/2024 23:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
1093,24,02/04/2024 23:30,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,
1096,24,02/04/2024 23:30,Kaseya Center,Miami Heat,New York Knicks,
1098,24,03/04/2024 00:00,Target Center,Minnesota Timberwolves,Houston Rockets,
1099,24,03/04/2024 01:00,Ball Arena,Denver Nuggets,San Antonio Spurs,
1100,24,03/04/2024 01:00,Delta Center,Utah Jazz,Cleveland Cavaliers,
589,24,03/04/2024 02:00,Chase Center,Golden State Warriors,Dallas Mavericks,
1101,24,03/04/2024 02:00,Golden 1 Center,Sacramento Kings,LA Clippers,
1102,24,03/04/2024 23:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,
1103,24,03/04/2024 23:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,
1104,24,03/04/2024 23:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
1105,24,03/04/2024 23:30,TD Garden,Boston Celtics,Oklahoma City Thunder,
1106,24,03/04/2024 23:30,Barclays Center,Brooklyn Nets,Indiana Pacers,
1107,24,03/04/2024 23:30,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,
1108,24,04/04/2024 00:00,Target Center,Minnesota Timberwolves,Toronto Raptors,
1109,24,04/04/2024 00:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,
1110,24,04/04/2024 02:00,Footprint Center,Phoenix Suns,Cleveland Cavaliers,
1111,24,04/04/2024 23:30,Kaseya Center,Miami Heat,Philadelphia 76ers,
1112,24,04/04/2024 23:30,Madison Square Garden,New York Knicks,Sacramento Kings,
1124,24,04/04/2024 23:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
1113,24,05/04/2024 00:00,Toyota Center,Houston Rockets,Golden State Warriors,
1114,24,05/04/2024 02:00,Crypto.com Arena,LA Clippers,Denver Nuggets,
1115,24,05/04/2024 23:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
1116,24,05/04/2024 23:00,Gainbridge Fieldhouse,Indiana Pacers,Oklahoma City Thunder,
1117,24,05/04/2024 23:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,
1118,24,05/04/2024 23:30,TD Garden,Boston Celtics,Sacramento Kings,
1119,24,06/04/2024 00:00,United Center,Chicago Bulls,New York Knicks,
1120,24,06/04/2024 00:00,Toyota Center,Houston Rockets,Miami Heat,
1121,24,06/04/2024 00:00,FedExForum,Memphis Grizzlies,Detroit Pistons,
1122,24,06/04/2024 00:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
