Match Number,Round Number,Date,Location,Home Team,Away Team,Result
301,8,12/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,121 - 107
302,8,12/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,134 - 120
303,8,12/12/2023 03:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,131 - 118
304,8,12/12/2023 03:30,Crypto.com Arena,LA Clippers,Portland Trail Blazers,132 - 127
305,8,13/12/2023 00:30,TD Garden,Boston Celtics,Cleveland Cavaliers,120 - 113
306,8,13/12/2023 00:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,127 - 125
307,8,13/12/2023 01:00,United Center,Chicago Bulls,Denver Nuggets,106 - 114
308,8,13/12/2023 03:00,Footprint Center,Phoenix Suns,Golden State Warriors,119 - 116
309,8,13/12/2023 03:30,Crypto.com Arena,LA Clippers,Sacramento Kings,119 - 99
310,8,14/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111 - 129
311,8,14/12/2023 00:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,122 - 142
312,8,14/12/2023 00:30,Kaseya Center,Miami Heat,Charlotte Hornets,115 - 104
313,8,14/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,135 - 128
314,8,14/12/2023 01:00,Toyota Center,Houston Rockets,Memphis Grizzlies,117 - 104
315,8,14/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,140 - 126
316,8,14/12/2023 01:00,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,119 - 122
317,8,14/12/2023 02:00,Footprint Center,Phoenix Suns,Brooklyn Nets,112 - 116
318,8,14/12/2023 02:00,Delta Center,Utah Jazz,New York Knicks,117 - 113
319,8,15/12/2023 00:30,TD Garden,Boston Celtics,Cleveland Cavaliers,116 - 107
320,8,15/12/2023 00:30,Kaseya Center,Miami Heat,Chicago Bulls,116 - 124
321,8,15/12/2023 01:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,101 - 119
322,8,15/12/2023 02:00,Ball Arena,Denver Nuggets,Brooklyn Nets,124 - 101
323,8,15/12/2023 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,114 - 122
324,8,15/12/2023 03:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,128 - 123
325,8,15/12/2023 03:30,Crypto.com Arena,LA Clippers,Golden State Warriors,121 - 113
326,8,16/12/2023 00:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,107 - 112
327,8,16/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,124 - 92
328,8,16/12/2023 00:00,Capital One Arena,Washington Wizards,Indiana Pacers,137 - 123
329,8,16/12/2023 00:30,TD Garden,Boston Celtics,Orlando Magic,128 - 111
330,8,16/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,104 - 125
331,8,16/12/2023 00:30,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,129 - 115
332,8,16/12/2023 01:00,FedExForum,Memphis Grizzlies,Houston Rockets,96 - 103
333,8,16/12/2023 03:00,Footprint Center,Phoenix Suns,New York Knicks,122 - 139
334,8,16/12/2023 23:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,146 - 114
335,8,17/12/2023 00:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,82 - 135
336,8,17/12/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,127 - 119
337,8,17/12/2023 01:00,Kaseya Center,Miami Heat,Chicago Bulls,118 - 116
338,8,17/12/2023 01:00,Target Center,Minnesota Timberwolves,Indiana Pacers,127 - 109
339,8,17/12/2023 01:30,Chase Center,Golden State Warriors,Brooklyn Nets,124 - 120
340,8,17/12/2023 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,117 - 118
341,8,17/12/2023 02:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,120 - 131
342,8,17/12/2023 03:00,Golden 1 Center,Sacramento Kings,Utah Jazz,125 - 104
343,8,17/12/2023 03:30,Crypto.com Arena,LA Clippers,New York Knicks,144 - 122
344,8,17/12/2023 20:00,TD Garden,Boston Celtics,Orlando Magic,114 - 97
345,8,17/12/2023 20:30,Frost Bank Center,San Antonio Spurs,New Orleans Pelicans,110 - 146
346,8,18/12/2023 00:00,Fiserv Forum,Milwaukee Bucks,Houston Rockets,128 - 119
347,8,18/12/2023 01:00,Footprint Center,Phoenix Suns,Washington Wizards,112 - 108
348,8,18/12/2023 02:00,Moda Center,Portland Trail Blazers,Golden State Warriors,114 - 118
349,9,19/12/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,135 - 130
350,9,19/12/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,LA Clippers,127 - 151
351,9,19/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,104 - 108
352,9,19/12/2023 00:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,130 - 124
353,9,19/12/2023 00:30,Kaseya Center,Miami Heat,Minnesota Timberwolves,108 - 112
354,9,19/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,114 - 99
355,9,19/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,116 - 97
356,9,19/12/2023 02:00,Ball Arena,Denver Nuggets,Dallas Mavericks,114 - 99
357,9,19/12/2023 02:00,Delta Center,Utah Jazz,Brooklyn Nets,125 - 108
358,9,19/12/2023 03:00,Golden 1 Center,Sacramento Kings,Washington Wizards,143 - 131
359,9,19/12/2023 03:30,Crypto.com Arena,Los Angeles Lakers,New York Knicks,109 - 114
360,9,20/12/2023 00:30,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,113 - 115
361,9,20/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,132 - 119
362,9,20/12/2023 03:00,Chase Center,Golden State Warriors,Boston Celtics,132 - 126
363,9,20/12/2023 03:00,Moda Center,Portland Trail Blazers,Phoenix Suns,109 - 104
364,9,21/12/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Utah Jazz,124 - 116
365,9,21/12/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,144 - 113
366,9,21/12/2023 00:00,Kia Center,Orlando Magic,Miami Heat,106 - 115
367,9,21/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,127 - 113
368,9,21/12/2023 00:30,Barclays Center,Brooklyn Nets,New York Knicks,102 - 121
369,9,21/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,104 - 113
370,9,21/12/2023 01:00,United Center,Chicago Bulls,Los Angeles Lakers,124 - 108
371,9,21/12/2023 01:00,Toyota Center,Houston Rockets,Atlanta Hawks,127 - 134
372,9,21/12/2023 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,111 - 120
373,9,21/12/2023 03:00,Golden 1 Center,Sacramento Kings,Boston Celtics,119 - 144
374,9,22/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,111 - 119
375,9,22/12/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,104 - 123
376,9,22/12/2023 01:00,United Center,Chicago Bulls,San Antonio Spurs,114 - 95
377,9,22/12/2023 01:00,FedExForum,Memphis Grizzlies,Indiana Pacers,116 - 103
378,9,22/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,118 - 114
379,9,22/12/2023 01:00,Paycom Center,Oklahoma City Thunder,LA Clippers,134 - 115
380,9,22/12/2023 02:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,118 - 111
381,9,22/12/2023 03:00,Moda Center,Portland Trail Blazers,Washington Wizards,117 - 118
382,9,23/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,121 - 111
383,9,23/12/2023 00:30,Barclays Center,Brooklyn Nets,Denver Nuggets,117 - 122
384,9,23/12/2023 01:00,Kaseya Center,Miami Heat,Atlanta Hawks,122 - 113
385,9,23/12/2023 01:00,Toyota Center,Houston Rockets,Dallas Mavericks,122 - 96
386,9,23/12/2023 03:00,Chase Center,Golden State Warriors,Washington Wizards,129 - 118
387,9,23/12/2023 03:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,120 - 105
388,9,23/12/2023 17:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,111 - 130
389,9,23/12/2023 20:30,Crypto.com Arena,LA Clippers,Boston Celtics,108 - 145
390,9,24/12/2023 00:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,95 - 102
391,9,24/12/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,110 - 117
392,9,24/12/2023 00:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,104 - 106
393,9,24/12/2023 00:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,119 - 125
394,9,24/12/2023 00:30,Barclays Center,Brooklyn Nets,Detroit Pistons,126 - 115
395,9,24/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Utah Jazz,119 - 126
396,9,24/12/2023 01:00,United Center,Chicago Bulls,Cleveland Cavaliers,95 - 109
397,9,24/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,120 - 129
398,9,24/12/2023 01:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,144 - 119
399,9,24/12/2023 01:30,Chase Center,Golden State Warriors,Portland Trail Blazers,126 - 106
400,9,24/12/2023 03:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,98 - 110
401,10,25/12/2023 17:00,Madison Square Garden,New York Knicks,Milwaukee Bucks,129 - 122
402,10,25/12/2023 19:30,Ball Arena,Denver Nuggets,Golden State Warriors,120 - 114
403,10,25/12/2023 22:00,Crypto.com Arena,Los Angeles Lakers,Boston Celtics,115 - 126
404,10,26/12/2023 01:00,Kaseya Center,Miami Heat,Philadelphia 76ers,119 - 113
405,10,26/12/2023 03:30,Footprint Center,Phoenix Suns,Dallas Mavericks,114 - 128
406,10,27/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,112 - 118
407,10,27/12/2023 00:00,Capital One Arena,Washington Wizards,Orlando Magic,119 - 127
408,10,27/12/2023 01:00,United Center,Chicago Bulls,Atlanta Hawks,118 - 113
409,10,27/12/2023 01:00,Toyota Center,Houston Rockets,Indiana Pacers,117 - 123
410,10,27/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,115 - 116
411,10,27/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,129 - 106
412,10,27/12/2023 01:00,Frost Bank Center,San Antonio Spurs,Utah Jazz,118 - 130
413,10,27/12/2023 03:00,Moda Center,Portland Trail Blazers,Sacramento Kings,130 - 113
414,10,27/12/2023 03:30,Crypto.com Arena,LA Clippers,Charlotte Hornets,113 - 104
415,10,28/12/2023 00:00,Kia Center,Orlando Magic,Philadelphia 76ers,92 - 112
416,10,28/12/2023 00:00,Capital One Arena,Washington Wizards,Toronto Raptors,102 - 132
417,10,28/12/2023 00:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,122 - 144
418,10,28/12/2023 01:00,Toyota Center,Houston Rockets,Phoenix Suns,113 - 129
419,10,28/12/2023 01:00,Paycom Center,Oklahoma City Thunder,New York Knicks,129 - 120
420,10,28/12/2023 01:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,110 - 113
421,10,29/12/2023 00:30,TD Garden,Boston Celtics,Detroit Pistons,128 - 122
422,10,29/12/2023 01:00,United Center,Chicago Bulls,Indiana Pacers,104 - 120
423,10,29/12/2023 01:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,118 - 110
424,10,29/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,112 - 105
425,10,29/12/2023 02:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,142 - 105
426,10,29/12/2023 03:00,Chase Center,Golden State Warriors,Miami Heat,102 - 114
427,10,29/12/2023 03:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,105 - 118
428,10,29/12/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Charlotte Hornets,133 - 112
429,10,30/12/2023 00:00,Kia Center,Orlando Magic,New York Knicks,117 - 108
430,10,30/12/2023 00:00,Capital One Arena,Washington Wizards,Brooklyn Nets,110 - 104
431,10,30/12/2023 00:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,110 - 117
432,10,30/12/2023 00:30,TD Garden,Boston Celtics,Toronto Raptors,120 - 118
433,10,30/12/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,111 - 119
434,10,30/12/2023 01:00,Toyota Center,Houston Rockets,Philadelphia 76ers,127 - 131
435,10,30/12/2023 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,93 - 119
436,10,30/12/2023 02:00,Footprint Center,Phoenix Suns,Charlotte Hornets,133 - 119
437,10,30/12/2023 03:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,134 - 128
438,10,30/12/2023 03:30,Crypto.com Arena,LA Clippers,Memphis Grizzlies,117 - 106
439,10,30/12/2023 22:00,Delta Center,Utah Jazz,Miami Heat,117 - 109
440,10,30/12/2023 23:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,129 - 127
441,10,31/12/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,140 - 126
442,10,31/12/2023 01:00,United Center,Chicago Bulls,Philadelphia 76ers,105 - 92
443,10,31/12/2023 01:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,108 - 106
444,10,31/12/2023 01:30,Chase Center,Golden State Warriors,Dallas Mavericks,122 - 132
445,10,31/12/2023 20:00,Capital One Arena,Washington Wizards,Atlanta Hawks,126 - 130
446,10,01/01/2024 00:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,129 - 109
447,10,01/01/2024 00:00,Paycom Center,Oklahoma City Thunder,Brooklyn Nets,124 - 108
448,10,01/01/2024 00:00,Frost Bank Center,San Antonio Spurs,Boston Celtics,101 - 134
449,10,01/01/2024 01:00,FedExForum,Memphis Grizzlies,Sacramento Kings,92 - 123
450,10,01/01/2024 01:00,Footprint Center,Phoenix Suns,Orlando Magic,112 - 107
451,11,01/01/2024 20:00,Madison Square Garden,New York Knicks,Minnesota Timberwolves,112 - 106
452,11,02/01/2024 00:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,124 - 121
453,11,02/01/2024 01:00,Toyota Center,Houston Rockets,Detroit Pistons,136 - 113
454,11,02/01/2024 01:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,113 - 122
455,11,02/01/2024 02:00,Ball Arena,Denver Nuggets,Charlotte Hornets,111 - 93
456,11,02/01/2024 02:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,109 - 88
457,11,02/01/2024 02:00,Delta Center,Utah Jazz,Dallas Mavericks,127 - 90
458,11,02/01/2024 03:30,Crypto.com Arena,LA Clippers,Miami Heat,121 - 104
459,11,03/01/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,110 - 97
460,11,03/01/2024 01:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,106 - 98
461,11,03/01/2024 01:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,112 - 85
462,11,03/01/2024 01:00,Paycom Center,Oklahoma City Thunder,Boston Celtics,127 - 123
463,11,03/01/2024 03:00,Chase Center,Golden State Warriors,Orlando Magic,121 - 115
464,11,03/01/2024 03:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,104 - 111
465,11,04/01/2024 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,140 - 101
466,11,04/01/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,142 - 130
467,11,04/01/2024 00:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,141 - 138
469,11,04/01/2024 01:00,Toyota Center,Houston Rockets,Brooklyn Nets,112 - 101
470,11,04/01/2024 01:00,FedExForum,Memphis Grizzlies,Toronto Raptors,111 - 116
471,11,04/01/2024 01:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,106 - 117
468,11,04/01/2024 01:30,Madison Square Garden,New York Knicks,Chicago Bulls,116 - 100
472,11,04/01/2024 01:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,126 - 97
473,11,04/01/2024 02:00,Footprint Center,Phoenix Suns,LA Clippers,122 - 131
474,11,04/01/2024 02:00,Delta Center,Utah Jazz,Detroit Pistons,154 - 148
475,11,04/01/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Miami Heat,96 - 110
476,11,04/01/2024 03:00,Golden 1 Center,Sacramento Kings,Orlando Magic,138 - 135
477,11,05/01/2024 00:30,Frost Bank Center,San Antonio Spurs,Milwaukee Bucks,121 - 125
478,11,05/01/2024 03:00,Chase Center,Golden State Warriors,Denver Nuggets,127 - 130
479,11,06/01/2024 00:00,TD Garden,Boston Celtics,Utah Jazz,126 - 97
480,11,06/01/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,150 - 116
481,11,06/01/2024 00:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,124 - 115
482,11,06/01/2024 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,114 - 90
483,11,06/01/2024 00:30,Wells Fargo Center,Philadelphia 76ers,New York Knicks,92 - 128
484,11,06/01/2024 01:00,United Center,Chicago Bulls,Charlotte Hornets,104 - 91
485,11,06/01/2024 01:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,95 - 122
486,11,06/01/2024 01:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,95 - 111
487,11,06/01/2024 01:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,139 - 103
488,11,06/01/2024 02:00,Ball Arena,Denver Nuggets,Orlando Magic,120 - 122
489,11,06/01/2024 02:00,Footprint Center,Phoenix Suns,Miami Heat,113 - 97
490,11,06/01/2024 03:00,Chase Center,Golden State Warriors,Detroit Pistons,113 - 109
491,11,06/01/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,113 - 127
492,11,06/01/2024 03:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,135 - 130
493,11,07/01/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,101 - 118
494,11,07/01/2024 00:00,Capital One Arena,Washington Wizards,New York Knicks,105 - 121
495,11,07/01/2024 00:30,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,109 - 120
496,11,07/01/2024 01:00,Toyota Center,Houston Rockets,Milwaukee Bucks,112 - 108
497,11,07/01/2024 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,117 - 115
498,11,07/01/2024 20:00,Barclays Center,Brooklyn Nets,Portland Trail Blazers,127 - 134
499,11,07/01/2024 23:00,Kia Center,Orlando Magic,Atlanta Hawks,117 - 110
500,11,07/01/2024 23:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,100 - 133
501,11,08/01/2024 00:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,115 - 108
502,11,08/01/2024 01:00,Ball Arena,Denver Nuggets,Detroit Pistons,131 - 114
503,11,08/01/2024 01:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,115 - 121
504,11,08/01/2024 01:30,Chase Center,Golden State Warriors,Toronto Raptors,118 - 133
505,11,08/01/2024 02:30,Crypto.com Arena,Los Angeles Lakers,LA Clippers,106 - 103
506,12,09/01/2024 00:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,112 - 119
507,12,09/01/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,133 - 131
508,12,09/01/2024 00:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,128 - 136
509,12,09/01/2024 00:30,Kaseya Center,Miami Heat,Houston Rockets,120 - 113
510,12,09/01/2024 01:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,116 - 132
511,12,09/01/2024 03:30,Crypto.com Arena,LA Clippers,Phoenix Suns,138 - 111
512,12,10/01/2024 00:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,110 - 131
513,12,10/01/2024 00:00,Kia Center,Orlando Magic,Minnesota Timberwolves,92 - 113
514,12,10/01/2024 00:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,112 - 84
515,12,10/01/2024 01:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,103 - 120
516,12,10/01/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,132 - 131
517,12,11/01/2024 00:00,TD Garden,Boston Celtics,Minnesota Timberwolves,127 - 120
518,12,11/01/2024 00:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,98 - 123
519,12,11/01/2024 00:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,108 - 130
520,12,11/01/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,112 - 104
521,12,11/01/2024 00:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,139 - 132
522,12,11/01/2024 00:30,Kaseya Center,Miami Heat,Oklahoma City Thunder,120 - 128
523,12,11/01/2024 01:00,United Center,Chicago Bulls,Houston Rockets,124 - 119
525,12,11/01/2024 01:30,Chase Center,Golden State Warriors,New Orleans Pelicans,105 - 141
524,12,11/01/2024 03:00,Delta Center,Utah Jazz,Denver Nuggets,124 - 111
526,12,11/01/2024 03:30,Crypto.com Arena,LA Clippers,Toronto Raptors,126 - 120
527,12,11/01/2024 19:00,Accor Arena,Cleveland Cavaliers,Brooklyn Nets,111 - 102
528,12,12/01/2024 00:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,135 - 102
529,12,12/01/2024 01:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,139 - 77
530,12,12/01/2024 01:30,American Airlines Center,Dallas Mavericks,New York Knicks,128 - 124
531,12,12/01/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,109 - 127
532,12,13/01/2024 00:30,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,112 - 93
533,12,13/01/2024 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,108 - 126
534,12,13/01/2024 00:30,Little Caesars Arena,Detroit Pistons,Houston Rockets,110 - 112
535,12,13/01/2024 01:00,Kaseya Center,Miami Heat,Orlando Magic,99 - 96
536,12,13/01/2024 01:00,United Center,Chicago Bulls,Golden State Warriors,131 - 140
537,12,13/01/2024 01:00,FedExForum,Memphis Grizzlies,LA Clippers,119 - 128
538,12,13/01/2024 01:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,116 - 93
541,12,13/01/2024 01:00,Frost Bank Center,San Antonio Spurs,Charlotte Hornets,135 - 99
540,12,13/01/2024 02:30,Delta Center,Utah Jazz,Toronto Raptors,145 - 113
539,12,13/01/2024 03:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,125 - 113
542,12,14/01/2024 00:00,TD Garden,Boston Celtics,Houston Rockets,145 - 113
543,12,14/01/2024 00:30,State Farm Arena,Atlanta Hawks,Washington Wizards,99 - 127
544,12,14/01/2024 01:00,FedExForum,Memphis Grizzlies,New York Knicks,94 - 106
545,12,14/01/2024 01:00,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,129 - 118
546,12,14/01/2024 01:00,Paycom Center,Oklahoma City Thunder,Orlando Magic,112 - 100
547,12,14/01/2024 01:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,108 - 118
548,12,14/01/2024 01:30,Frost Bank Center,San Antonio Spurs,Chicago Bulls,116 - 122
549,12,14/01/2024 02:30,Delta Center,Utah Jazz,Los Angeles Lakers,132 - 125
550,12,14/01/2024 20:30,Ball Arena,Denver Nuggets,Indiana Pacers,117 - 109
551,12,14/01/2024 23:00,Kaseya Center,Miami Heat,Charlotte Hornets,104 - 87
552,12,15/01/2024 00:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,143 - 142
553,12,15/01/2024 00:00,Target Center,Minnesota Timberwolves,LA Clippers,109 - 105
554,12,15/01/2024 02:00,Moda Center,Portland Trail Blazers,Phoenix Suns,116 - 127
555,13,15/01/2024 18:00,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,124 - 115
556,13,15/01/2024 19:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,125 - 120
557,13,15/01/2024 20:00,Madison Square Garden,New York Knicks,Orlando Magic,94 - 98
558,13,15/01/2024 20:00,Capital One Arena,Washington Wizards,Detroit Pistons,117 - 129
559,13,15/01/2024 20:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,109 - 99
560,13,15/01/2024 23:00,FedExForum,Memphis Grizzlies,Golden State Warriors,116 - 107
561,13,16/01/2024 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,109 - 91
562,13,16/01/2024 00:30,Barclays Center,Brooklyn Nets,Miami Heat,95 - 96
563,13,16/01/2024 00:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,96 - 105
564,13,16/01/2024 02:00,Delta Center,Utah Jazz,Indiana Pacers,132 - 105
565,13,16/01/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,112 - 105
566,13,17/01/2024 00:30,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,126 - 121
567,13,17/01/2024 02:00,Footprint Center,Phoenix Suns,Sacramento Kings,119 - 117
568,13,17/01/2024 03:00,Crypto.com Arena,LA Clippers,Oklahoma City Thunder,128 - 117
569,13,18/01/2024 00:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,117 - 124
570,13,18/01/2024 00:30,State Farm Arena,Atlanta Hawks,Orlando Magic,106 - 104
571,13,18/01/2024 00:30,TD Garden,Boston Celtics,San Antonio Spurs,117 - 98
572,13,18/01/2024 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,135 - 95
573,13,18/01/2024 00:30,Madison Square Garden,New York Knicks,Houston Rockets,109 - 94
574,13,18/01/2024 00:30,Scotiabank Arena,Toronto Raptors,Miami Heat,121 - 97
575,13,18/01/2024 01:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,132 - 112
577,13,18/01/2024 01:30,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,127 - 110
578,13,18/01/2024 03:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,105 - 103
579,13,19/01/2024 00:30,Madison Square Garden,New York Knicks,Washington Wizards,113 - 109
580,13,19/01/2024 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,110 - 116
581,13,19/01/2024 02:00,Delta Center,Utah Jazz,Oklahoma City Thunder,129 - 134
582,13,19/01/2024 03:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,118 - 103
583,13,19/01/2024 03:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,121 - 126
584,13,20/01/2024 00:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,124 - 120
585,13,20/01/2024 00:00,Kia Center,Orlando Magic,Philadelphia 76ers,109 - 124
586,13,20/01/2024 00:30,TD Garden,Boston Celtics,Denver Nuggets,100 - 102
587,13,20/01/2024 01:00,Kaseya Center,Miami Heat,Atlanta Hawks,108 - 109
588,13,20/01/2024 01:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,109 - 123
590,13,20/01/2024 03:00,Moda Center,Portland Trail Blazers,Indiana Pacers,118 - 115
591,13,20/01/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Brooklyn Nets,112 - 130
592,13,20/01/2024 20:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,135 - 141
